date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-30,CN,中国,230000,黑龙江省,230100,哈尔滨市,263,0,196,4
2020-04-30,CN,中国,230000,黑龙江省,230200,齐齐哈尔市,43,0,42,1
2020-04-30,CN,中国,230000,黑龙江省,230300,鸡西市,46,0,46,0
2020-04-30,CN,中国,230000,黑龙江省,230400,鹤岗市,5,0,5,0
2020-04-30,CN,中国,230000,黑龙江省,230500,双鸭山市,52,0,49,3
2020-04-30,CN,中国,230000,黑龙江省,230600,大庆市,27,0,25,1
2020-04-30,CN,中国,230000,黑龙江省,230700,伊春市,1,0,1,0
2020-04-30,CN,中国,230000,黑龙江省,230800,佳木斯市,15,0,15,0
2020-04-30,CN,中国,230000,黑龙江省,230900,七台河市,17,0,17,0
2020-04-30,CN,中国,230000,黑龙江省,231000,牡丹江市,20,0,15,0
2020-04-30,CN,中国,230000,黑龙江省,231100,黑河市,14,0,14,0
2020-04-30,CN,中国,230000,黑龙江省,231200,绥化市,47,0,43,4
2020-04-30,CN,中国,230000,黑龙江省,232700,大兴安岭地区,3,0,3,0
2020-04-30,CN,中国,310000,上海市,,,647,0,599,7
2020-04-30,CN,中国,310000,上海市,3100xx,未公布来源,0,0,3,1
2020-04-30,CN,中国,310000,上海市,3100xy,外地来沪,111,0,108,1
2020-04-30,CN,中国,310000,上海市,3100y0,境外输入,308,0,268,0
2020-04-30,CN,中国,310000,上海市,310101,黄浦区,6,0,5,1
2020-04-30,CN,中国,310000,上海市,310104,徐汇区,18,0,17,1
2020-04-30,CN,中国,310000,上海市,310105,长宁区,13,0,13,0
2020-04-30,CN,中国,310000,上海市,310106,静安区,16,0,15,1
2020-04-30,CN,中国,310000,上海市,310107,普陀区,11,0,11,0
2020-04-30,CN,中国,310000,上海市,310109,虹口区,7,0,7,0
2020-04-30,CN,中国,310000,上海市,310110,杨浦区,9,0,9,0
2020-04-30,CN,中国,310000,上海市,310112,闵行区,19,0,19,0
2020-04-30,CN,中国,310000,上海市,310113,宝山区,22,0,19,1
2020-04-30,CN,中国,310000,上海市,310114,嘉定区,9,0,7,1
2020-04-30,CN,中国,310000,上海市,310115,浦东新区,61,0,61,0
2020-04-30,CN,中国,310000,上海市,310116,金山区,4,0,4,0
2020-04-30,CN,中国,310000,上海市,310117,松江区,14,0,14,0
2020-04-30,CN,中国,310000,上海市,310118,青浦区,6,0,6,0
2020-04-30,CN,中国,310000,上海市,310120,奉贤区,9,0,9,0
2020-04-30,CN,中国,310000,上海市,310151,崇明区,4,0,4,0
2020-04-30,CN,中国,320000,江苏省,,,653,0,648,0
2020-04-30,CN,中国,320000,江苏省,3200y0,境外输入,22,0,17,0
2020-04-30,CN,中国,320000,江苏省,320100,南京市,93,0,93,0
2020-04-30,CN,中国,320000,江苏省,320200,无锡市,55,0,55,0
2020-04-30,CN,中国,320000,江苏省,320300,徐州市,79,0,79,0
2020-04-30,CN,中国,320000,江苏省,320400,常州市,51,0,51,0
2020-04-30,CN,中国,320000,江苏省,320500,苏州市,87,0,87,0
2020-04-30,CN,中国,320000,江苏省,320600,南通市,40,0,40,0
2020-04-30,CN,中国,320000,江苏省,320700,连云港市,48,0,48,0
2020-04-30,CN,中国,320000,江苏省,320800,淮安市,66,0,66,0
2020-04-30,CN,中国,320000,江苏省,320900,盐城市,27,0,27,0
2020-04-30,CN,中国,320000,江苏省,321000,扬州市,23,0,23,0
2020-04-30,CN,中国,320000,江苏省,321100,镇江市,12,0,12,0
2020-04-30,CN,中国,320000,江苏省,321200,泰州市,37,0,37,0
2020-04-30,CN,中国,320000,江苏省,321300,宿迁市,13,0,13,0
2020-04-30,CN,中国,330000,浙江省,,,1268,0,1263,1
2020-04-30,CN,中国,330000,浙江省,3300y0,省十里丰监狱,36,0,36,0
2020-04-30,CN,中国,330000,浙江省,3300y1,境外输入,50,0,46,0
2020-04-30,CN,中国,330000,浙江省,3300y2,划归外省,0,0,0,0
2020-04-30,CN,中国,330000,浙江省,330100,杭州市,181,0,181,0
2020-04-30,CN,中国,330000,浙江省,330200,宁波市,157,0,157,0
2020-04-30,CN,中国,330000,浙江省,330300,温州市,504,0,503,1
2020-04-30,CN,中国,330000,浙江省,330400,嘉兴市,46,0,46,0
2020-04-30,CN,中国,330000,浙江省,330500,湖州市,10,0,10,0
2020-04-30,CN,中国,330000,浙江省,330600,绍兴市,42,0,42,0
2020-04-30,CN,中国,330000,浙江省,330700,金华市,55,0,55,0
2020-04-30,CN,中国,330000,浙江省,330800,衢州市,14,0,14,0
2020-04-30,CN,中国,330000,浙江省,330900,舟山市,10,0,10,0
2020-04-30,CN,中国,330000,浙江省,331000,台州市,146,0,146,0
2020-04-30,CN,中国,330000,浙江省,331100,丽水市,17,0,17,0
2020-04-30,CN,中国,340000,安徽省,,,991,0,985,6
2020-04-30,CN,中国,340000,安徽省,3400y0,境外输入,1,0,1,0
2020-04-30,CN,中国,340000,安徽省,340100,合肥市,174,0,173,1
2020-04-30,CN,中国,340000,安徽省,340200,芜湖市,34,0,34,0
2020-04-30,CN,中国,340000,安徽省,340300,蚌埠市,160,0,155,5
2020-04-30,CN,中国,340000,安徽省,340400,淮南市,27,0,27,0
2020-04-30,CN,中国,340000,安徽省,340500,马鞍山市,38,0,38,0
2020-04-30,CN,中国,340000,安徽省,340600,淮北市,27,0,27,0
2020-04-30,CN,中国,340000,安徽省,340700,铜陵市,29,0,29,0
2020-04-30,CN,中国,340000,安徽省,340800,安庆市,83,0,83,0
2020-04-30,CN,中国,340000,安徽省,341000,黄山市,9,0,9,0
2020-04-30,CN,中国,340000,安徽省,341100,滁州市,13,0,13,0
2020-04-30,CN,中国,340000,安徽省,341200,阜阳市,155,0,155,0
2020-04-30,CN,中国,340000,安徽省,341300,宿州市,41,0,41,0
2020-04-30,CN,中国,340000,安徽省,341500,六安市,69,0,69,0
2020-04-30,CN,中国,340000,安徽省,341600,亳州市,108,0,108,0
2020-04-30,CN,中国,340000,安徽省,341700,池州市,17,0,17,0
2020-04-30,CN,中国,340000,安徽省,341800,宣城市,6,0,6,0
2020-04-30,CN,中国,350000,福建省,,,355,0,353,1
